id	name
170187	Streptococcus pneumoniae TIGR4
160490	Streptococcus pyogenes 700294
370552	Streptococcus pyogenes MGAS10270
286636	Streptococcus pyogenes MGAS10394
370554	Streptococcus pyogenes MGAS10750
370553	Streptococcus pyogenes MGAS2096
198466	Streptococcus pyogenes MGAS315
293653	Streptococcus pyogenes MGAS5005
319701	Streptococcus pyogenes MGAS6180
186103	Streptococcus pyogenes MGAS8232
370551	Streptococcus pyogenes MGAS9429
193567	Streptococcus pyogenes SSI1
299768	Streptococcus thermoph. CNRZ1066
264199	Streptococcus thermoph. LMG18311
227882	Streptomyces avermitilis
100226	Streptomyces coelicolor
330779	Sulfolobus acidocaldarius
2287	Sulfolobus solfataricus
273063	Sulfolobus tokodaii
292459	Symbiobacterium thermophilum
32046	Synechococcus elongatus BP1
269084	Synechococcus elongatus PCC6301
1140	Synechococcus elongatus PCC7942
110662	Synechococcus sp. CC9605
316279	Synechococcus sp. CC9902
84588	Synechococcus sp. WH8102
1148	Synechocystis sp. PCC6803
56780	Syntrophus aciditrophicus
31033	Takifugu rubripes
99883	Tetraodon nigroviridis
296543	Thalassiosira pseudonana
273068	Thermoanaerobacter tengcongensis
269800	Thermobifida fusca
69014	Thermococcus kodakarensis
273075	Thermoplasma acidophilum
273116	Thermoplasma volcanium
243274	Thermotoga maritima
262724	Thermus thermophilus HB27
300852	Thermus thermophilus HB8
292415	Thiobacillus denitrificans
317025	Thiomicrospira crunogena
326298	Thiomicrospira denitrificans
243275	Treponema denticola
243276	Treponema pallidum
218496	Tropheryma whipplei TW0827
203267	Tropheryma whipplei Twist
273119	Ureaplasma parvum
243277	Vibrio cholerae
312309	Vibrio fischeri
223926	Vibrio parahaemolyticus
216895	Vibrio vulnificus CMCP6
196600	Vibrio vulnificus YJ016
36870	Wigglesworthia glossinidia
292805	Wolbachia endosymbiont
66077	Wolbachia sp. wMel
273121	Wolinella succinogenes
190486	Xanthomonas axonopodis
190485	Xanthomonas campestris 33913
314565	Xanthomonas campestris 8004
341	Xanthomonas campestris vesicat.
291331	Xanthomonas oryzae KACC10331
8364	Xenopus tropicalis
160492	Xylella fastidiosa 9a5c
183190	Xylella fastidiosa Temecula1
4952	Yarrowia lipolytica
229193	Yersinia pestis 91001
214092	Yersinia pestis CO92
187410	Yersinia pestis KIM
273123	Yersinia pseudotuberculosis
264203	Zymomonas mobilis
